Carlos Alcaraz (1)	Adam Walton
Yannick Hanfmann	Zachary Svajda
Michael Zheng	Sebastian Korda
Tristan Schoolkate	Corentin Moutet (32)
Tommy Paul (19)	Aleksandar Kovacevic
Thiago Agustin Tirante	Aleksandar Vukic
Nicolai Budkov Kjaer	Reilly Opelka
Filip Misolic	Alejandro Davidovich Fokina (14)
Alexander Bublik (10)	Jenson Brooksby
Camilo Ugo Carabelli	Marton Fucsovics
Miomir Kecmanovic	Tomas Martin Etcheverry
Arthur Fery	Flavio Cobolli (20)
Frances Tiafoe (29)	Jason Kubler
Patrick Kypson	Francisco Comesana
Mariano Navone	Hamad Medjedovic
Matteo Berrettini	Alex De Minaur (6)
Alexander Zverev (3)	Gabriel Diallo
Alexei Popyrin	Alexandre Muller
Emilio Nava	Kyrian Jacquet
Benjamin Bonzi	Cameron Norrie (26)
Francisco Cerundolo (18)	Zhizhen Zhang
Liam Draxl	Damir Dzumhur
Arthur Cazaux	Jaime Faria
Matteo Arnaldi	Andrey Rublev (13)
Daniil Medvedev (11)	Jesper De Jong
Quentin Halys	Alejandro Tabilo
Kamil Majchrzak	Jacob Fearnley
Fabian Marozsan	Arthur Rinderknech (24)
Learner Tien (25)	Marcos Giron
Elias Ymer	Alexander Shevchenko
Juan Manuel Cerundolo	Jordan Thompson
Nuno Borges	Felix Auger Aliassime (7)
Lorenzo Musetti (5)	Raphael Collignon
Lorenzo Sonego	Carlos Taberner
Grigor Dimitrov	Tomas Machac
Shintaro Mochizuki	Stefanos Tsitsipas (31)
Jiri Lehecka (17)	Arthur Gea
Laslo Djere	Stan Wawrinka
Vit Kopriva	Jan Lennard Struff
Valentin Royer	Taylor Fritz (9)
Jakub Mensik (16)	Pablo Carreno Busta
Rei Sakamoto	Rafael Jodar
Hubert Hurkacz	Zizou Bergs
Ethan Quinn	Tallon Griekspoor (23)
Brandon Nakashima (27)	Botic Van De Zandschulp
Juncheng Shang	Roberto Bautista Agut
Terence Atmane	Francesco Maestrelli
Pedro Martinez	Novak Djokovic (4)
Ben Shelton (8)	Ugo Humbert
Dane Sweeny	Gael Monfils
Adrian Mannarino	Rinky Hijikata
Martin Damm Jr	Valentin Vacherot (30)
Denis Shapovalov (21)	Yunchaokete Bu
Daniel Altmaier	Marin Cilic
Jaume Munar	Dalibor Svrcina
Mattia Bellucci	Casper Ruud (12)
Karen Khachanov (15)	Alex Michelsen
Christopher O Connell	Nishesh Basavareddy
Giovanni Mpetshi Perricard	Sebastian Baez
Cristian Garin	Luciano Darderi (22)
Joao Fonseca (28)	Eliot Spizzirri
Luca Nardi	Yibing Wu
James Duckworth	Dino Prizmic
Hugo Gaston	Jannik Sinner (2)
